cluster_id,image_count,patient_count,mean_S_R,mean_S_E,mean_probability_drop,weighted_rank_sum,image_coverage,S_h,importance_rank
38,223,147,0.07132488726471205,0.033736303022690955,0.19126899930493982,178.15376198664308,0.8884462151394422,0.7097759441698928,1
26,181,125,0.07076029147402395,0.05215170972296217,0.17199424197331317,169.9512768536806,0.7211155378486056,0.6770967205325921,2
13,212,136,0.04252970677922383,0.03967565834469531,0.1135303911067686,159.16787156648934,0.8446215139442231,0.6341349464800372,3
5,168,109,0.056505570503802685,0.04814257915131748,0.157255184603855,149.02074271440506,0.6693227091633466,0.5937081383044026,4
39,143,92,0.06851003883021149,0.05571409226297499,0.18291385604680835,141.70425637066364,0.5697211155378487,0.5645587903213691,5
1,194,129,0.03139496330587678,0.04780465370696998,0.07523144903525557,140.71106262505054,0.7729083665338645,0.5606018431276915,6
25,205,136,0.026559087744681166,0.04802893928547458,0.058940200616673724,140.24639740213752,0.8167330677290837,0.558750587259512,7
11,192,133,0.04368452776634513,0.04193456776556559,0.09078501781914383,137.8926722444594,0.7649402390438247,0.5493731961930653,8
0,216,138,0.03654160469927269,0.03659995806110264,0.0908789853737862,137.75791581906378,0.8605577689243028,0.5488363180042382,9
34,160,108,0.04957982779487793,0.048756709572626275,0.11437341321725399,133.17060811072588,0.6374501992031872,0.5305601916761987,10
35,184,115,0.04020199921101068,0.03952362606018458,0.09439380270550432,126.76344542019069,0.7330677290836654,0.5050336470923932,11
15,172,109,0.029647234669831705,0.05406994431084672,0.03523979728045159,123.42574824392796,0.6852589641434262,0.49173604878058946,12
18,202,129,0.030507197600269532,0.03601884799041223,0.062281024743719854,118.69912716560066,0.8047808764940239,0.4729048891059787,13
16,183,136,0.03267547522548744,0.03810567217446416,0.06196539437835985,108.73423374630511,0.7290836653386454,0.43320411851117574,14
4,193,128,0.04033697672701595,0.02889643382121823,0.07191127836897275,107.14288986474276,0.7689243027888446,0.4268641030467839,15
9,167,120,0.026023706258832293,0.04444131397357779,0.047481891883169106,107.0905441492796,0.6653386454183267,0.42665555437959995,16
36,145,103,0.04437333718444028,0.04135192797744069,0.11398419117362335,106.675188370049,0.5776892430278885,0.42500075047828284,17
14,161,105,0.03202917759692852,0.041053981502881705,0.06906589754619953,106.64851989038289,0.6414342629482072,0.4248945015553103,18
21,192,132,0.02879403598353747,0.030949993796336155,0.04742461644733945,102.18252646364272,0.7649402390438247,0.40710169905833754,19
17,149,114,0.060071520024925024,0.02941456815265369,0.17687300702669476,101.40583450347185,0.5936254980079682,0.40400730877877233,20
10,160,116,0.039150593872182074,0.03173929988988675,0.11116493495646865,100.27325250208378,0.6374501992031872,0.39949502988878,21
22,169,115,0.0375218409707373,0.030479623610980413,0.0979663327600829,99.72443737275898,0.6733067729083665,0.39730851542931866,22
27,119,83,0.059299552666020494,0.044039918970661,0.16532044768521265,98.62411021441221,0.47410358565737054,0.39292474189008847,23
23,213,137,0.016850105191672772,0.03232459071149149,0.025203132888240994,96.04731069132686,0.848605577689243,0.3826586083319795,24
20,84,71,0.12582567998781866,0.06004138415058454,0.23289815944042944,95.9021754860878,0.3346613545816733,0.38208038042266057,25
3,119,95,0.038987677281320354,0.04866785681297799,0.0972560431276049,95.6764953956008,0.47410358565737054,0.38118125655617846,26
12,235,149,0.011346276746839879,0.036603304605059166,-0.008158759408174678,94.4292439352721,0.9362549800796812,0.37621212723215974,27
33,149,120,0.041337563722291276,0.029000413922855517,0.09021496685259295,89.97715227305889,0.5936254980079682,0.3584747102512306,28
28,135,87,0.04753605328948685,0.033275055674905026,0.10611103058413222,87.49626356549561,0.5378486055776892,0.3485906914959985,29
30,204,129,0.02611937190722172,0.021811083528697126,0.03204172247034662,83.29182051867247,0.8127490039840638,0.33183992238514926,30
32,132,99,0.02624803279038381,0.04009450933275124,0.05641684861797275,80.45114066638052,0.5258964143426295,0.3205224727744244,31
2,136,94,0.03555790007329265,0.032682817028698456,0.07134870571248672,79.50309454277158,0.5418326693227091,0.3167453965847473,32
31,231,145,0.01088565130012127,0.030222250455063143,-0.00653670583065454,78.07870970107615,0.9203187250996016,0.31107055657799265,33
37,167,116,0.025068451553021284,0.02923788782487997,0.026711802104276098,77.62668486125767,0.6653386454183267,0.3092696608018234,34
7,80,69,0.053205536043969916,0.049744349787943065,0.16842489163391292,70.70419716089964,0.3187250996015936,0.2816900285294806,35
8,150,115,0.02098997328275194,0.03093838715925813,0.025965245477855205,66.83589063957334,0.5976095617529881,0.26627844876324036,36
6,196,123,0.01603642898014502,0.029608124639002645,-0.012659738866650328,65.78252161294222,0.7808764940239044,0.26208175941411244,37
19,87,69,0.04050111233246052,0.037991314612585925,0.12256265435924475,61.22386646270752,0.3466135458167331,0.243919786704014,38
24,106,92,0.02656596342710128,0.0322072974863058,0.06961065478060606,58.244041537865996,0.42231075697211157,0.2320479742544462,39
29,49,38,0.0504543119875182,0.04373546642232306,0.14142338414581454,40.05502336099744,0.1952191235059761,0.15958176637847585,40
