cluster_id,candidate_count,patient_count,mean_distance,mean_area_ratio
0,696,138,9.536984768407098,0.06530290362478669
1,923,129,7.361611115712902,0.04875697242348317
2,1153,94,9.562082693458947,0.07717445883043719
3,807,95,9.383971375012782,0.07688014657967147
4,1329,128,8.359376872186825,0.07543265326207876
5,721,109,10.291696990908598,0.07139427089823429
6,1407,123,8.361977572125921,0.0642016125470929
7,656,69,8.786338396915575,0.07033436472822976
8,918,115,7.677244205620294,0.06329642401801211
9,877,120,8.973250898015404,0.0600889634379231
10,927,116,8.653844985118319,0.08454716012701628
11,746,133,9.449314869121316,0.0696696979430661
12,1104,149,7.60766587006873,0.0622643215068872
13,958,136,7.809918519599453,0.06862823151845271
14,1032,105,7.4856674329254975,0.07296761431435278
15,899,109,7.486882685554173,0.05376574778318136
16,1024,136,8.738723445683718,0.07826486974954601
17,996,114,8.44151483817273,0.0806030518558609
18,1086,129,8.62070737183643,0.08081271415696394
19,713,69,8.680863213238174,0.05806578626806568
20,675,71,10.910807277538158,0.07661684389467588
21,1051,132,9.17324964712054,0.06873563989699166
22,924,115,8.377330222687164,0.06289778540144747
23,1306,137,7.620917755100665,0.06672154086289686
24,942,92,7.420801980227169,0.06851975426805496
25,794,136,8.266446630059923,0.04476486705712764
26,835,125,9.844999505802543,0.08329047014613346
27,840,83,9.813877067111788,0.07646934418451214
28,809,87,9.037400763173332,0.0758989850434443
29,714,38,9.46807424694884,0.07923096835780205
30,1110,129,8.027560777062769,0.07830079912065381
31,1317,145,7.304818830077361,0.054949737989096865
32,724,99,7.623008670069236,0.06984513635793439
33,1182,120,7.880090745774219,0.06875327315225613
34,983,108,9.91705185375039,0.08194482750955694
35,1097,115,8.53825306262118,0.07122140986982427
36,672,103,9.012995130249433,0.06402665092831562
37,999,116,9.09455133701588,0.073640470151548
38,985,147,8.850416274482223,0.07669604925939875
39,814,92,10.471035470540752,0.07490536738965078
