cluster_id,candidate_count,patient_count,mean_distance,mean_area_ratio
0,65,9,10.210474138993483,0.08015079228806908
1,58,9,9.213859919844003,0.07119559839021816
2,77,9,9.555713647371762,0.07602227173336867
3,76,10,9.763523766868992,0.06668448115265843
4,56,3,10.27266240971429,0.06583575813137756
5,39,7,9.147740889818241,0.04569607290031397
6,78,8,9.552703667909672,0.06105150894492412
7,58,9,9.773569838754062,0.04624617896727656
8,46,1,9.585207731827445,0.07469923261424136
9,85,8,10.766448099472944,0.0841625712785114
10,81,10,8.620902997476083,0.05675602127425044
11,79,7,10.844656847700287,0.06351213349263757
12,65,6,9.986846821124738,0.05372166895604396
13,77,9,10.034403014492678,0.06610264337065995
14,49,7,10.7086631424573,0.08419994273219492
15,41,3,9.763613712496873,0.08036735082752614
16,81,7,9.889483192820608,0.07112199625220458
17,58,3,9.49953191033725,0.07003554385116116
18,97,6,10.637657342497835,0.0799038929360404
19,57,8,10.35138469829894,0.08495114739974938
20,50,7,9.773193664550782,0.05833785076530613
21,41,2,8.679987244489716,0.07126475780861126
22,42,3,10.0346101579212,0.07750432762390672
23,67,8,9.01657171391729,0.04608226802848005
24,71,10,10.791666474140866,0.0768062616772061
