cluster_id,candidate_count,patient_count,mean_distance,mean_area_ratio
0,675,89,9.083900078667535,0.0682724790219907
1,739,83,8.234313945486356,0.07239983110853715
2,681,136,7.667846111123957,0.056274638126950216
3,760,129,7.506745545487655,0.04871074776900438
4,1137,136,8.124890396232235,0.05952234863710693
5,633,134,8.383106631690293,0.04314948107582317
6,734,82,9.189557688762447,0.07536145971646421
7,789,104,9.209634019999147,0.08039138465175454
8,828,142,8.352039701120866,0.0702852396573421
9,814,126,8.690597827663,0.08531356736541668
10,814,83,7.373138371498052,0.07250663982269508
11,608,75,10.86581198949563,0.0803364515304565
12,575,66,8.670045837734056,0.07045328554899791
13,867,128,8.27412829844597,0.07981402211260763
14,775,105,9.597331339928411,0.07825735276745208
15,1018,131,7.90292308419533,0.07493331999113607
16,586,135,9.214390060600568,0.06484085707941148
17,530,82,10.166972127950416,0.06976114668936094
18,702,109,7.7861643156774365,0.06127444427577175
19,636,91,7.6518696029231235,0.0667535433979154
20,496,33,8.46483748286001,0.0749382126715875
21,697,124,8.654683523574894,0.0794485029223317
22,726,138,9.3851318379079,0.08020721519617333
23,866,106,7.2869996864856255,0.07182467066388203
24,475,57,10.623306019431666,0.07420394897460933
25,909,114,7.1581119730396505,0.04987234067339835
26,964,110,7.731452623343567,0.07195481818741284
27,548,139,9.634026769303928,0.06465215056482018
28,754,98,8.80544400784318,0.07053638326710664
29,861,101,9.740112254290077,0.08567036485838138
30,843,94,8.576872144022587,0.08339575770910944
31,736,87,9.297128519934157,0.07727586704751714
32,907,116,8.84347173476298,0.07042049336459692
33,657,53,8.60407304763794,0.06213816696468912
34,793,118,8.62380041480816,0.06751997804581589
35,995,148,7.353910065176499,0.05438787565758477
36,716,93,9.492421696971915,0.07945496010380745
37,768,126,8.142448550090194,0.06474672257900234
38,1014,106,8.233008683785885,0.07629383621366297
39,758,81,9.18390650925347,0.07615826186529874
40,859,128,7.739343739777144,0.06981678475323318
41,593,100,8.847988696363684,0.05926794788688669
42,554,80,8.89051424553248,0.06336042769118763
43,1021,130,7.229663331875255,0.06482169350260732
44,610,111,10.229529537920092,0.07210113025102455
45,471,33,10.042902462548257,0.0787738872941132
46,649,85,10.108099964623825,0.07793843250245265
47,959,120,7.484364178431792,0.07086904802212994
48,805,110,8.343568063818891,0.06365775825073997
49,840,98,8.995068492775872,0.06838139579409641
