cluster_id,candidate_count,patient_count,mean_distance,mean_area_ratio
0,257,149,9.885806033583467,0.8543804777271552
1,684,104,7.700478412254512,0.05250087537263565
2,774,133,8.95363410868386,0.08592350291959377
3,812,112,9.984623749855116,0.09677758710137724
4,865,85,9.788383030202347,0.09565637401073648
5,551,100,9.08376889825949,0.07793825291462252
6,525,78,9.66571931566511,0.07501968383789058
7,457,72,8.110544861015136,0.05859294866315642
8,1082,131,8.600539697075948,0.09126646285136389
9,676,87,8.878979758398067,0.09428404068805755
10,433,134,9.377216039573899,0.07163148664161732
11,701,134,8.04432129485801,0.0816422542729833
12,356,115,8.548582816391848,0.07821080925759302
13,638,122,8.86596095599351,0.08509483456985324
14,654,74,9.400627914918672,0.08721440866452833
15,758,100,9.29145883381524,0.0912061303775354
16,437,127,8.774180116587972,0.09765898226600483
17,763,154,8.618670066093555,0.05415103257405489
18,526,121,7.635143484906099,0.05626686444300659
19,605,136,8.40289329182018,0.05947251122845102
20,539,109,9.148617034055748,0.05727335517614357
21,778,107,8.68132526280028,0.09051008641260137
22,422,74,8.921887153697805,0.05332561691790392
23,329,12,8.988385675888294,0.06651076574818338
24,930,108,9.258213333929739,0.09351580219884066
25,758,141,8.334314109782115,0.060192420174389805
26,724,132,9.524717145861842,0.09401168612485426
27,445,101,7.4281284739462174,0.05020384199163883
28,581,121,8.123101724404682,0.04416502199156556
29,440,71,9.445134713433006,0.06956580768931991
30,812,136,8.102996712834964,0.09307083355382154
31,777,142,8.79741721355777,0.08908883761254971
32,449,124,8.820089038602493,0.052140607600222676
33,615,126,7.945481252282615,0.05767504684324184
34,1021,150,7.831624639606383,0.08222086399239023
35,563,129,8.568378643286588,0.05262459573694906
36,440,124,7.968964975530451,0.054763031005859344
37,701,123,8.758656896300051,0.09051025542995214
38,544,134,8.932626406936084,0.09286326520583203
39,644,119,8.746903269187264,0.05724668798979761
