cluster_id,candidate_count,patient_count,mean_distance,mean_area_ratio
0,2285,145,9.698932086143243,0.0821723771043105
1,2768,128,7.9901836474851375,0.06948363298625611
2,2574,124,10.786682886399312,0.07718066828326833
3,3175,137,9.00838339467687,0.07556838989257808
4,2331,138,8.023766967269394,0.07764440869528146
5,2700,115,9.11647884775091,0.07707890687165432
6,2599,156,8.584613440448663,0.0765593595897385
7,2333,134,8.95217501693052,0.07023009403652247
8,2091,138,9.247274228227816,0.05902456997798877
9,2045,154,9.568004431642938,0.0752170143034172
10,2748,151,8.46316283620254,0.06661162869204944
11,1798,146,10.128516476464617,0.07186834698126494
12,2395,151,7.720724293981564,0.05243388197865014
13,3817,154,7.946366960851816,0.06228499378806977
14,2086,148,8.085816800080003,0.05707728348436653
