cluster_id,image_count,patient_count,mean_S_R,mean_S_E,mean_probability_drop,weighted_rank_sum,image_coverage,S_h,importance_rank
7,235,149,0.04894252458607104,0.06772694141465299,0.006280775907191824,169.5377852320671,0.9362549800796812,0.6754493435540522,1
18,236,150,0.055615805041995016,0.05941509978719434,-0.0024500138173669072,163.75622704811394,0.9402390438247012,0.6524152472036412,2
12,238,151,0.05162174113416661,0.05924974515752381,0.007756434255788306,160.44339413568377,0.9482071713147411,0.6392167097039194,3
11,220,138,0.06601366326424547,0.057832098527896135,0.021750325878912753,156.49143558368087,0.8764940239043825,0.6234718549150632,4
22,224,146,0.05314574493292769,0.057709601491556635,0.013011594702090536,146.29481068253517,0.8924302788844621,0.5828478513248413,5
20,242,152,0.051143572785774215,0.0491809604096819,0.0051696912408613965,144.9221534933895,0.9641434262948207,0.577379097583225,6
3,240,153,0.04762122520335955,0.05072434653217594,-0.006293360780303677,140.4840514101088,0.9561752988047809,0.5596974159765291,7
24,228,150,0.049053666919414686,0.05148349969500774,0.005313439752187645,138.67220406793058,0.9083665338645418,0.5524789006690461,8
14,237,148,0.054652470795811994,0.04854918089754219,0.013635333894677302,137.3745272103697,0.9442231075697212,0.5473088733480865,9
6,242,151,0.0494476344033764,0.05186020853844556,0.003907199949026108,134.16550257243216,0.9641434262948207,0.5345239146312039,10
19,221,144,0.043966749878979514,0.053697983645812956,-0.002547525156002778,133.48457532934844,0.8804780876494024,0.5318110570890376,11
0,218,145,0.03830218378672325,0.049655065616515864,-0.021549842089688014,118.23638783954084,0.8685258964143426,0.47106130613362884,12
4,181,128,0.07655537416978395,0.04636749833595852,0.02648855212725987,115.96348641999066,0.7211155378486056,0.46200592199199464,13
5,220,142,0.056053438274631676,0.03887326176362959,0.015082492323761637,114.04391500912607,0.8764940239043825,0.4543582271279923,14
10,195,129,0.04811818064265073,0.04495716557766383,0.0039693470375660135,111.8954498320818,0.7768924302788844,0.4457986049086924,15
1,178,116,0.040746948230498875,0.05267286093466068,-0.007547747594921776,104.05263606645167,0.7091633466135459,0.4145523349261023,16
23,144,116,0.04953352582621543,0.05778261517278022,0.005217459440852205,98.46480458788574,0.5737051792828686,0.3922900581190667,17
13,158,96,0.051411100274211245,0.054521773918237114,0.010858771921713141,96.62017538398504,0.6294820717131474,0.384940937784801,18
15,233,147,0.04530236281687768,0.028392974479131944,-0.00043070891896030935,95.51896621286869,0.9282868525896414,0.3805536502504729,19
16,142,111,0.03660050091254984,0.05648277274293589,-0.006277149831744986,88.63965117931366,0.5657370517928287,0.3531460206347158,20
17,123,84,0.043560748577223925,0.05642718814192264,-0.00234075781048798,78.22991259023547,0.4900398406374502,0.3116729585268346,21
21,206,133,0.033357032348664065,0.03220533879329134,-0.00895474767945345,77.48797199130058,0.8207171314741036,0.3087170198856597,22
2,130,106,0.05092409344159443,0.04997026552087985,0.007552912430121348,76.93239357508719,0.5179282868525896,0.3065035600601083,23
8,186,123,0.032386923287068846,0.036231333121997854,-0.0057432091123955226,75.4609290137887,0.7410358565737052,0.3006411514493574,24
9,123,102,0.048598201490173916,0.0429283105276101,0.011982806390378534,68.080367827788,0.4900398406374502,0.2712365252103107,25
