cluster_id,candidate_count,patient_count,mean_distance,mean_area_ratio
0,605,140,7.871233293044666,0.07806271639737211
1,610,120,7.449655857242521,0.05869168140849126
2,451,137,8.660344889317278,0.06573270641250775
3,425,61,8.434576318404254,0.09319116928998157
4,456,61,9.075843735745078,0.09321563285693782
5,573,102,8.315093488177288,0.08988945979306413
6,504,100,8.123969177405039,0.05100682425120517
7,572,97,8.342286337505687,0.09269516284649183
8,444,66,8.749099125733247,0.09297370910644524
9,368,113,7.575837457957475,0.07849549210589864
10,578,103,7.110529822874234,0.05070910734288829
11,582,135,7.884816560548606,0.055760898131275466
12,587,121,7.361653667495442,0.09039663415548134
13,520,108,7.001196046058948,0.05262844379131607
14,552,127,8.320084201252978,0.09503551151441485
15,582,130,7.35553777422692,0.048867183042965355
16,554,114,8.255648466654202,0.09098932286892551
17,431,105,9.350134016466251,0.051410728153662405
18,296,109,8.687711395121909,0.08793127214586406
19,403,33,9.36285014542989,0.08520293886549118
20,278,89,8.478403593996445,0.08660161409446657
21,253,101,8.373256443988664,0.06206465709821977
22,371,117,8.698631140099703,0.07334642847271935
23,351,126,8.260241083270124,0.05248793034132385
24,480,109,8.210803909103076,0.09685335159301751
25,581,119,8.716355010277228,0.07201640248914179
26,417,70,8.442294798880743,0.09322650827092227
27,504,132,8.08610214884319,0.05517247366526767
28,406,123,8.2194633906698,0.09041631163047446
29,288,40,9.370740913682514,0.0766206582387288
30,441,98,8.820779518205292,0.09126906276019517
31,456,136,8.165032031243307,0.0932276290759705
32,451,85,8.966892172650594,0.08346533088091995
33,251,153,8.617836450675568,0.8828447805457855
34,421,108,8.480136966478796,0.08974755801384347
35,295,47,9.292768020953162,0.07575115915072161
36,467,131,7.860785169826075,0.05242029553562463
37,764,131,8.655365363465554,0.09257547767998654
38,430,104,7.531580195316049,0.057274494614711985
39,706,140,7.583191294845711,0.08295779998174127
40,367,70,9.334708373618062,0.09818113987062536
41,440,62,8.469523579424077,0.051386477730490904
42,576,127,8.194623355236319,0.08868592315249968
43,444,74,9.025928151500118,0.09186925114812071
44,695,143,7.813533085884808,0.06067302895964474
45,251,89,8.124845582650478,0.05286370995510143
46,676,131,7.777235101665971,0.05270377841926886
47,529,88,8.19767152429303,0.05814869237081311
48,381,112,8.4954467758419,0.09797257951551216
49,288,113,9.039641544222832,0.07702136039733884
