step,ssc_accuracy,sdc_accuracy,mean_ssc_probability,mean_sdc_probability,cluster_added_or_removed
0,1.0,0.8804780876494024,0.5262961,0.82974076,
1,0.9083665338645418,0.9641434262948207,0.82064104,0.70490706,33
2,0.9083665338645418,0.9641434262948207,0.8341004,0.69906163,27
3,0.9203187250996016,0.9641434262948207,0.84310406,0.70091116,16
4,0.9243027888446215,0.9721115537848606,0.8506962,0.7046759,2
5,0.9322709163346613,0.9721115537848606,0.8516338,0.7044667,37
