step,ssc_accuracy,sdc_accuracy,mean_ssc_probability,mean_sdc_probability,cluster_added_or_removed
0,0.0,0.6653386454183267,0.47370392,0.65435153,
1,0.5936254980079682,0.07171314741035857,0.62621796,0.33015424,14
2,0.5976095617529881,0.07569721115537849,0.62097764,0.32356873,39
3,0.6175298804780877,0.08764940239043825,0.62820107,0.32136104,38
4,0.6135458167330677,0.07569721115537849,0.6184014,0.31923476,37
5,0.6175298804780877,0.08764940239043825,0.6216835,0.3199213,28
