cluster_id,image_count,patient_count,mean_S_R,mean_S_E,mean_probability_drop,weighted_rank_sum,image_coverage,S_h,importance_rank
29,203,133,0.06608331110213742,0.06038900325304182,0.14864102760192208,178.18728783726692,0.8087649402390438,0.7099095132958841,1
20,232,147,0.053855051184906064,0.04613511689842261,0.10503029539089265,168.6151868030429,0.9243027888446215,0.6717736526017645,2
7,215,139,0.03757703242563577,0.06459351036437722,0.06833838154236938,165.93513557314873,0.8565737051792829,0.6610961576619471,3
28,162,106,0.08095280601812618,0.06691250727040532,0.1877792703424707,161.91054794192314,0.6454183266932271,0.6450619439917257,4
22,239,150,0.07488304596427423,0.030909406036824363,0.1505249023094586,156.46374538727105,0.952191235059761,0.6233615354074543,5
1,202,138,0.05197437694106057,0.049227602620802745,0.1102359902648495,146.57360512949526,0.8047808764940239,0.5839585861732879,6
2,217,141,0.03648368245486142,0.056339719131039585,0.05418089725729507,146.149268431589,0.8645418326693227,0.5822680017194781,7
5,228,150,0.04787743274209788,0.04250960628167121,0.0731706219202463,145.83334447816014,0.9083665338645418,0.5810093405504388,8
9,198,123,0.04624186434654867,0.04520644133233211,0.09321261946149546,130.60082159936428,0.7888446215139442,0.5203219984038417,9
13,177,126,0.04605198625243653,0.051767947115425,0.10689023061323974,130.1441061384976,0.7051792828685259,0.5185024148944127,10
16,117,90,0.12896578092427535,0.07179387127104987,0.23232899711300165,127.704386562109,0.46613545816733065,0.5087824165821075,11
23,197,132,0.04224911864302097,0.04344095836681914,0.09490507613243487,124.97655067965388,0.7848605577689243,0.4979145445404537,12
19,228,143,0.03477475512549414,0.041239002196673764,0.03762926540353842,123.31858476251364,0.9083665338645418,0.49130910263949656,13
18,144,98,0.07270816818628292,0.05101788027807035,0.15434960885128626,121.15506324544549,0.5737051792828686,0.4826894950017749,14
21,186,131,0.031454128153610886,0.051224737488214045,0.04346119121758528,114.1986211463809,0.7410358565737052,0.45497458624056136,15
25,217,145,0.04802279732182562,0.03260654499453883,0.05738045760185762,109.37391315586865,0.8645418326693227,0.4357526420552536,16
4,173,116,0.03561299420271413,0.04586694635601574,0.0596849295617528,105.62460243143141,0.6892430278884463,0.4208151491292088,17
10,167,114,0.053717466597121157,0.0386426260271026,0.1088019156616605,105.03702428936958,0.6653386454183267,0.4184742003560541,18
17,139,111,0.07014016619432892,0.03925545602407065,0.15428867831611806,102.40272688679397,0.5537848605577689,0.4079789915808525,19
27,164,107,0.04117177396517768,0.042906037361429235,0.06808659196944862,100.02008125185966,0.6533864541832669,0.39848637948948074,20
11,124,94,0.05706393063789414,0.05271686025474581,0.13589850557787764,98.00756616145372,0.4940239043824701,0.39046839108148895,21
24,237,150,0.014718578827399407,0.0441693227408053,-0.003595988505877523,97.77032625302672,0.9442231075697212,0.3895232121634531,22
6,189,125,0.0370994186245654,0.0346741372197078,0.04718035646768474,96.15646861307323,0.7529880478087649,0.38309350045049095,23
15,205,138,0.026447905373486985,0.03618241944236726,0.025596748982987753,95.66433637775481,0.8167330677290837,0.3811328142540032,24
26,229,142,0.01643533789173763,0.039271934925859155,0.009230360860517452,91.60623562708497,0.9123505976095617,0.36496508217962137,25
14,151,121,0.044734377740105205,0.036577374742224514,0.08984796250152667,91.35592562891543,0.601593625498008,0.36396783119089815,26
0,162,117,0.021614098799523442,0.04641940021013588,0.02599928284316887,84.72168263979256,0.6454183266932271,0.3375365842222811,27
12,142,110,0.03393940186016524,0.03842588241907283,0.07361828464962228,82.56320073269308,0.5657370517928287,0.3289370547119246,28
8,217,136,0.018486863560049176,0.03202364872497279,-0.012237182599470911,69.12038606405258,0.8645418326693227,0.275380024159572,29
3,62,42,0.06123775454808868,0.05383460983754166,0.12068854296399702,49.56696334294975,0.24701195219123506,0.1974779416053775,30
