angle_total_deg,side,frames,p95_px_a,p95_width_fraction_a,full_frame_hole_rate_a,full_frame_hole_rate_b,relative_hole_reduction,depth_gate_status,depth_accepted_pixels,depth_rejected_pixels,supplement_gaussian_count,endpoint_visibility_weight
5,left,11,76.33391571044922,0.03727241978049278,0.006758371988932292,0.006758371988932292,0.0,not_applicable_no_mask,0,0,0,1.0
5,right,11,76.31635284423828,0.03726384416222572,0.0061753590901692705,0.0061753590901692705,0.0,not_applicable_no_mask,0,0,0,1.0
15,left,31,223.5898895263672,0.10917475074529648,0.023996353149414062,0.01703484853108724,0.29010677476618185,partial_pass,28755,3221,1773,1.0
15,right,31,225.59201049804688,0.11015234887599945,0.027204513549804688,0.025188763936360676,0.0740961462058006,partial_pass,8487,57521,548,1.0
30,left,61,443.83770751953125,0.21671763062477112,0.08356825510660808,0.019844690958658855,0.7625331421202588,passed,225546,0,13992,1.0
30,right,61,450.4046936035156,0.2199241667985916,0.1145029067993164,0.013151804606119791,0.8851399936145699,partial_pass,341043,1752,21469,1.0
