cluster_id,candidate_count,patient_count,mean_distance,mean_area_ratio
0,555,55,9.491536718660647,0.0851574734524563
1,730,119,8.417048996441984,0.05367443659534189
2,947,92,9.29406741755565,0.09098600409728289
3,794,150,7.758436821570024,0.05749401697884275
4,772,144,8.277762257991059,0.05483873891089243
5,732,110,8.476349362258702,0.08867283597018544
6,698,141,8.664949313275793,0.09728568331218375
7,938,145,7.9939842656222995,0.09286454694865857
8,463,102,8.298042499220912,0.06694254864884241
9,1257,121,9.075266571014573,0.09960767249787901
10,862,118,7.345207500347128,0.050504772956299356
11,889,136,7.776984073716154,0.060258271053215476
12,1020,144,8.80132372005313,0.08793708576875568
13,935,151,8.08822701398064,0.060280886563387745
14,727,113,8.437733192391375,0.09119870213399721
15,662,116,7.243646477644537,0.05348345592302855
16,656,154,8.967744495083647,0.3862544210945687
17,619,82,8.889635575222083,0.05540892149597066
18,680,130,7.54394677807303,0.04818179186652685
19,373,135,9.020946259792625,0.0650467757565086
20,912,132,8.83480401624713,0.08748574424208251
21,610,143,8.394479026950775,0.07805875559322167
22,532,64,8.532482548763877,0.09371613380604216
23,938,149,8.699806185927727,0.05278636550089948
24,1316,152,8.112521172294501,0.08508177586239517
25,875,122,8.745965959276472,0.09182896205357137
26,820,123,8.82262333660591,0.09377260905940353
27,623,94,8.240107253887489,0.0594715100038874
28,508,142,8.617072325053178,0.054915127791757626
29,908,145,7.746332621784462,0.08322859020485222
