cluster_id,candidate_count,patient_count,mean_distance,mean_area_ratio
0,1058,100,10.371282879932165,0.08199182665415652
1,1277,120,7.849292709945045,0.06370139663445357
2,1072,135,8.958544116856446,0.0687347988584148
3,1056,139,7.319870361324512,0.048730564839912144
4,1106,140,8.99924351595625,0.07755610309069665
5,1279,149,8.681015863560251,0.07787921896569887
6,1297,89,9.600928534887897,0.07827892318172641
7,1021,100,9.537243093496205,0.07335904202662061
8,862,98,10.493639260046443,0.073414548090605
9,1168,120,9.317621082883992,0.08367045284950565
10,1218,105,7.649743139645932,0.0751591856256494
11,1002,147,10.018288064145755,0.07368383959619819
12,715,79,10.71397016698664,0.07726877919443832
13,1467,134,8.245248319668761,0.07386967789663611
14,863,144,8.53600067943162,0.04656520945172179
15,1287,140,7.569769881914638,0.06882419008197202
16,893,87,9.75443608389723,0.07545716818609799
17,1094,123,7.850239141767596,0.0601762600747061
18,1174,123,8.58872945060925,0.08168979560293163
19,942,120,8.950747982964648,0.06044055347483118
20,826,114,8.827714655647554,0.06031824255105077
21,777,40,9.407515080278905,0.07913804514527777
22,1174,120,7.541283057942301,0.06700106333224082
23,859,137,9.546188083044726,0.06956933568881189
24,1200,137,8.746816837787629,0.0777398014068603
25,1119,119,9.159713704635033,0.07535380481927915
26,1365,129,8.440261361188504,0.06338116991650923
27,701,65,8.718327697095448,0.05779380635086034
28,1118,149,7.675792326867474,0.059112504471180015
29,997,117,7.57637638744404,0.0760136320215529
30,1103,141,7.941068299986077,0.07053025246531118
31,1529,138,7.596558766399356,0.05679236213080313
32,1411,119,8.5268163346467,0.07436716362232011
33,919,111,7.53668201008611,0.06439037966390944
34,796,76,8.891861470500428,0.07243579116897962
