step,ssc_accuracy,sdc_accuracy,mean_ssc_probability,mean_sdc_probability,cluster_added_or_removed
0,1.0,0.8804780876494024,0.5262961,0.82974076,
1,0.9322709163346613,0.9203187250996016,0.7385987,0.8160082,7
2,0.9402390438247012,0.9163346613545816,0.75548947,0.7985078,5
3,0.9402390438247012,0.9282868525896414,0.7786468,0.81412095,10
4,0.9681274900398407,0.952191235059761,0.8541612,0.8350187,9
5,0.9880478087649402,0.9800796812749004,0.8507108,0.84110135,13
