step,ssc_accuracy,sdc_accuracy,mean_ssc_probability,mean_sdc_probability,cluster_added_or_removed
0,1.0,0.8804780876494024,0.6205272,0.78180254,
1,0.9482071713147411,0.9163346613545816,0.76818556,0.77886975,1
2,0.9402390438247012,0.896414342629482,0.7703646,0.74410963,12
3,0.9203187250996016,0.8605577689243028,0.7582168,0.713221,6
4,0.852589641434263,0.8605577689243028,0.70465875,0.6913649,7
5,0.848605577689243,0.8087649402390438,0.69254047,0.67651093,4
