cluster_id,candidate_count,patient_count,mean_distance,mean_area_ratio
0,677,93,10.082365131800778,0.07167702904480065
1,1165,130,8.088098074540559,0.06144455676426699
2,865,111,7.723475934728722,0.06273367556533369
3,1318,119,8.464833890179763,0.07587886399311067
4,1008,129,7.7971671427053115,0.0704455451359824
5,798,121,8.398764189024616,0.0548229791167983
6,726,64,8.687827551003659,0.06069514902498436
7,1111,136,7.859501307768182,0.07105833683649121
8,822,93,7.670046686256019,0.07811306398860435
9,784,123,7.183340694223132,0.04586274283272876
10,751,106,9.78015045160936,0.08363598291470743
11,1117,119,7.341505629523268,0.07115828019759432
12,709,95,7.516377406665065,0.06874776390947303
13,787,100,9.9009854178568,0.08078519149838434
14,779,92,9.107357533813595,0.07436279277287333
15,654,68,8.801794285438842,0.07249077379885795
16,700,136,9.428701375552587,0.06820466722760878
17,992,138,8.47089839077765,0.08027294374281356
18,770,76,9.45316476388411,0.07745577329164971
19,842,79,10.58419158056626,0.07987565609168548
20,797,93,7.593966192702577,0.06026013612448043
21,692,138,8.575147424819152,0.04506339916604099
22,604,141,9.048246243142135,0.06570432044022916
23,812,99,9.533495269385465,0.08004404641137329
24,1071,127,8.246463357122227,0.06346533211673337
25,1030,145,7.2492648907078125,0.05409973292674829
26,1050,129,8.969223963419596,0.0697485714867001
27,800,106,7.783475598096848,0.05793570995330806
28,795,113,7.941756305454662,0.05965496519076745
29,910,130,9.00175022974119,0.07756319570017381
30,594,110,10.311535059803663,0.07107693579060456
31,832,112,9.011467069387436,0.05986254490338835
32,522,84,9.917466311619199,0.07449543247734444
33,809,119,7.472520444537564,0.06970734472475178
34,571,64,8.344687178757061,0.07269520934951697
35,973,101,8.52465356413164,0.07376517739839931
36,982,91,8.859135919093115,0.07841016998601781
37,491,61,10.891322848753143,0.07296654260328486
38,692,93,9.326585000650041,0.07576462299148466
39,1064,132,8.624932918333469,0.08466529129143043
40,944,108,8.47408386105198,0.08233842203172582
41,1071,123,7.45592751133453,0.061627987274825255
42,551,34,9.754500222076306,0.08020310999044701
43,882,135,8.728520299842298,0.07280211329730454
44,831,89,8.960159952459783,0.07548546819767218
