step,ssc_accuracy,sdc_accuracy,mean_ssc_probability,mean_sdc_probability,cluster_added_or_removed
0,1.0,0.8804780876494024,0.5262961,0.82974076,
1,0.9203187250996016,0.9402390438247012,0.7264719,0.82722926,3
2,0.9203187250996016,0.9203187250996016,0.7524477,0.809704,16
3,0.9243027888446215,0.9203187250996016,0.758998,0.79459864,11
4,0.9282868525896414,0.9282868525896414,0.77377015,0.80640745,2
5,0.9641434262948207,0.9482071713147411,0.836892,0.8254018,7
