cluster_id,image_count,patient_count,mean_S_R,mean_S_E,mean_probability_drop,weighted_rank_sum,image_coverage,S_h,importance_rank
6,216,142,0.13890825417178754,0.17126548667524563,0.2981191236111853,219.60291701182723,0.8605577689243028,0.8749120199674392,1
12,250,157,0.13120152349723502,0.10061109811067581,0.234267927788198,215.53849389776587,0.9960159362549801,0.8587190991942864,2
0,235,153,0.11065713486228909,0.09033978084855257,0.22075703306757707,190.03481164574623,0.9362549800796812,0.7571108033695069,3
2,250,157,0.07632911802764283,0.07304465833678842,0.15455063623376192,169.7365100197494,0.9960159362549801,0.676241075775894,4
5,247,156,0.08421943868217738,0.08246508592867899,0.14601964930351446,165.03915680199862,0.9840637450199203,0.6575265211235004,5
10,228,143,0.07065388820707372,0.09280115240171813,0.12245639563505456,152.8842086493969,0.9083665338645418,0.6091004328661231,6
13,235,150,0.08707952207608267,0.06373399025463361,0.1572498842400122,151.21302995458245,0.9362549800796812,0.6024423504166632,7
11,199,134,0.07480833002290953,0.09526548211125835,0.16061710442261928,143.60070936381817,0.7928286852589641,0.5721143799355306,8
14,238,154,0.07911107789672728,0.04613321950314801,0.16777406158238775,141.3195246271789,0.9482071713147411,0.5630259945305932,9
7,189,122,0.062296307843767364,0.11185712344136345,0.11041938168090329,128.45035101473331,0.7529880478087649,0.5117543865128817,10
1,244,152,0.03258856901340893,0.04641431963002523,0.04239080903372254,87.13532450795174,0.9721115537848606,0.34715268728267623,11
8,204,132,0.054873619707388,0.027589163308970027,0.10867868977891025,85.98189410567284,0.8127490039840638,0.34255734703455315,12
3,185,127,0.04787795241995686,0.04202173280504507,0.061956241700445884,70.49946292862296,0.7370517928286853,0.2808743542973026,13
9,240,149,0.017075220497645205,0.03847998403895569,0.0005067127485138674,69.83771620690823,0.9561752988047809,0.2782379131749332,14
4,118,94,0.0435860558907241,0.06624413396121334,0.056171899819273056,56.646839790046215,0.4701195219123506,0.22568462067747497,15
