rank,channel,channel_score,area_ratio,bbox,full_probability,keep_probability,removed_probability,probability_drop
109,1032,3.859e-05,0.043403,"(np.int64(385), np.int64(305), np.int64(518), np.int64(435))",0.969122,0.144343,0.974985,-0.005863
110,868,2.664e-05,0.099308,"(np.int64(40), np.int64(204), np.int64(281), np.int64(513))",0.969122,0.09702,0.974991,-0.005869
111,514,1.409e-05,0.062967,"(np.int64(208), np.int64(396), np.int64(482), np.int64(576))",0.969122,0.54442,0.976183,-0.007061
112,839,5.948e-05,0.083122,"(np.int64(408), np.int64(220), np.int64(576), np.int64(450))",0.969122,0.316896,0.976599,-0.007477
113,1007,0.00047516,0.100001,"(np.int64(136), np.int64(452), np.int64(576), np.int64(576))",0.969122,0.88696,0.978475,-0.009353
114,272,8.64e-06,0.05309,"(np.int64(109), np.int64(331), np.int64(394), np.int64(457))",0.969122,0.317088,0.978736,-0.009614
115,401,1.395e-05,0.037284,"(np.int64(86), np.int64(356), np.int64(230), np.int64(465))",0.969122,0.312944,0.978985,-0.009863
116,1105,0.00015912,0.038779,"(np.int64(0), np.int64(139), np.int64(145), np.int64(272))",0.969122,0.201248,0.97947,-0.010348
117,702,0.00040532,0.069354,"(np.int64(0), np.int64(150), np.int64(149), np.int64(333))",0.969122,0.336686,0.979712,-0.01059
118,756,7.04e-05,0.026123,"(np.int64(351), np.int64(339), np.int64(450), np.int64(458))",0.969122,0.255677,0.980093,-0.01097
119,338,2.448e-05,0.100001,"(np.int64(0), np.int64(149), np.int64(179), np.int64(412))",0.969122,0.115832,0.980426,-0.011304
120,356,6.382e-05,0.041627,"(np.int64(442), np.int64(178), np.int64(576), np.int64(335))",0.969122,0.184937,0.980811,-0.011689
121,33,0.00010555,0.096559,"(np.int64(0), np.int64(295), np.int64(241), np.int64(491))",0.969122,0.040465,0.982045,-0.012923
122,1266,0.00049683,0.082905,"(np.int64(0), np.int64(190), np.int64(158), np.int64(412))",0.969122,0.160202,0.983322,-0.0142
123,701,4.34e-06,0.062615,"(np.int64(81), np.int64(319), np.int64(342), np.int64(576))",0.969122,0.137223,0.985307,-0.016185
124,790,2.673e-05,0.068468,"(np.int64(0), np.int64(202), np.int64(282), np.int64(374))",0.969122,0.449313,0.985621,-0.016499
125,866,9.088e-05,0.100001,"(np.int64(160), np.int64(288), np.int64(576), np.int64(483))",0.969122,0.729595,0.98621,-0.017088
126,536,1.216e-05,0.052653,"(np.int64(262), np.int64(326), np.int64(506), np.int64(479))",0.969122,0.231214,0.987659,-0.018537
127,1120,2.728e-05,0.089039,"(np.int64(242), np.int64(164), np.int64(494), np.int64(503))",0.969122,0.501541,0.990993,-0.02187
