cluster_id,image_count,patient_count,mean_S_R,mean_S_E,mean_probability_drop,weighted_rank_sum,image_coverage,S_h,importance_rank
23,236,146,0.04501834922096242,0.04552128627675317,0.0029325730846089834,176.36268691904843,0.9402390438247012,0.7026401869284798,1
39,214,141,0.055895126151643416,0.043600790006778786,0.034953655483566715,168.83038625866175,0.852589641434263,0.6726310209508436,2
29,232,148,0.034335453494287356,0.05006140927334541,0.007716433691053555,167.6248174905777,0.9243027888446215,0.6678279581297917,3
9,236,150,0.036590347335053806,0.04125924574968926,0.009330421070552479,151.45229682140052,0.9402390438247012,0.6033956048661375,4
14,220,142,0.048649373016616496,0.03580234807661988,0.02714090865444053,145.4500440824777,0.8764940239043825,0.5794822473405485,5
3,204,135,0.04644337193766499,0.042093572300384005,0.011645608161594354,139.1132081337273,0.8127490039840638,0.5542358889789932,6
37,224,147,0.04185204878584565,0.03508061301129471,0.010108089157646256,135.16126733273268,0.8924302788844621,0.5384911049112856,7
36,197,128,0.04157372449493972,0.04270744880633003,0.004076309086102519,134.16030674427748,0.7848605577689243,0.5345032141206274,8
27,213,138,0.03779806862743746,0.04264042151331062,0.009905573522820718,131.15773090161383,0.848605577689243,0.5225407605641985,9
12,170,108,0.05090817200321266,0.04165480419007294,0.030348057913429597,125.94665518775582,0.6772908366533864,0.501779502740063,10
8,200,145,0.03538251951755228,0.03776662245392799,0.003867963552474976,124.42226972617209,0.796812749003984,0.4957062538891318,11
17,222,143,0.03137209659873226,0.03339016706439423,-0.008536228222084476,119.00069529563189,0.8844621513944223,0.47410635575948956,12
28,212,138,0.02237357631370201,0.03938350152830541,-0.024220526218414307,112.85964510031044,0.8446215139442231,0.4496400203199619,13
7,184,137,0.03201194409579646,0.04060071639959579,-0.012582498278630816,110.58401011303067,0.7330677290836654,0.4405737454702417,14
4,218,140,0.028467734206527675,0.033010015037731016,-0.006739966092853371,110.24273798428476,0.8685258964143426,0.43921409555491936,15
1,154,125,0.0256596469908481,0.0452161751106962,-0.0008051921069234997,108.56007456034422,0.6135458167330677,0.4325102572125268,16
5,199,132,0.03792412061409951,0.02818373624403872,0.011957693320872197,105.24706684425473,0.7928286852589641,0.4193110232838834,17
0,168,124,0.047894883586801974,0.03115587039307381,0.03095918767420309,104.62642040476203,0.6693227091633466,0.41683832830582485,18
18,152,118,0.036125578012280654,0.039743461921860124,0.015435396007409221,104.04919262975454,0.6055776892430279,0.41453861605479897,19
13,213,138,0.024202325801089615,0.03589271308478195,-0.014642489295750157,102.83208355400711,0.848605577689243,0.4096895759123789,20
26,144,87,0.03770409480623332,0.04185650290067618,0.002622842685216003,99.96537251211703,0.5737051792828686,0.39826841638293636,21
20,211,140,0.03583996795490343,0.023006096691934843,0.0010178614213568339,92.54195109568536,0.8406374501992032,0.36869303225372657,22
24,161,99,0.0390337094478743,0.03339854953087496,0.007824442956758581,91.3833090737462,0.6414342629482072,0.36407692858066215,23
10,119,76,0.04064141951468108,0.0447684702690409,0.02084097992472288,91.35887911915779,0.47410358565737054,0.363979598084294,24
6,148,102,0.038316062920588395,0.036347329018738224,0.005000728258007282,89.62444151379168,0.5896414342629482,0.3570694881027557,25
30,184,115,0.02575420891662361,0.030145100166049342,-0.00873806392369063,86.871451606974,0.7330677290836654,0.3461014008245976,26
16,199,129,0.03414677716449404,0.02050210653930603,0.0025336064360848625,86.24803012050688,0.7928286852589641,0.34361764988249754,27
19,142,116,0.04525267371559814,0.03377361383131692,0.018381619248801554,86.2171587869525,0.5657370517928287,0.34349465652172306,28
31,139,111,0.029511084629343355,0.0386518936255853,0.003290753034378985,83.53127877227962,0.5537848605577689,0.3327939393317913,29
11,141,99,0.03429237390118684,0.03471252352580534,-0.01370759868452735,82.48475766554475,0.5617529880478087,0.3286245325320508,30
32,173,116,0.03306338351725929,0.024735807548842335,-0.0015057582042120785,82.02971475943923,0.6892430278884463,0.32681161258740726,31
2,126,89,0.03622194378251498,0.038394272150028316,0.013508039689253248,80.08002268522978,0.50199203187251,0.3190439150805967,32
34,112,91,0.031879672984359786,0.04301338433288038,0.005547708166497094,74.12930811569095,0.44621513944223107,0.29533588890713525,33
33,139,91,0.03830678244255376,0.02997196657941576,-0.020141252269633383,73.68004505895078,0.5537848605577689,0.2935459962507999,34
38,133,89,0.031311448846411495,0.03307320746502146,-0.0009247190213965294,70.22079096361995,0.5298804780876494,0.2797641074247807,35
21,118,94,0.035541665214469054,0.03659923908190202,1.9440332711753198e-06,67.66999455913901,0.4701195219123506,0.269601571948761,36
22,120,100,0.025800039730287,0.037253997505952915,-0.02323871770252784,66.61244736611843,0.47808764940239046,0.2653882365184001,37
35,97,82,0.03101850487771876,0.033843475557172424,0.0034214223629420565,52.89474197663367,0.38645418326693226,0.2107360238112895,38
25,138,98,0.015504740818226745,0.02358422887619531,-0.018858012783786526,44.54017847031355,0.549800796812749,0.17745091024029302,39
15,48,34,0.03816126878155046,0.03585279187730824,-0.020150513155385852,27.7540803514421,0.19123505976095617,0.1105740253045502,40
