cluster_id,candidate_count,patient_count,mean_distance,mean_area_ratio
0,935,124,8.811390053142201,0.08269705134917066
1,1132,125,7.847889380404469,0.06567083230709436
2,640,89,7.987188171595335,0.06083428263664241
3,1024,135,8.4111965498887,0.0767625011503696
4,1130,140,7.175711250305175,0.061716521946729774
5,835,132,8.101665111930071,0.04918043399285409
6,709,102,9.818154049188697,0.07340002127191407
7,956,137,7.350518351818228,0.06231357063708441
8,1145,145,7.40272638620768,0.07651711009995901
9,1108,150,7.015834855689039,0.053260558779058866
10,1057,76,8.200382358529371,0.07836889160502707
11,791,99,8.242657301549514,0.058148660189583944
12,1058,108,8.228213449056298,0.06449302067603412
13,859,138,7.067445694498189,0.05955093259445027
14,903,142,7.314858103907386,0.062301399171814396
15,482,34,9.24718328828139,0.07158156747145272
16,617,129,7.247789161131872,0.03757827363099229
17,947,143,7.27270901266096,0.0642728312088544
18,1046,118,8.637331675389072,0.07829947316623777
19,856,116,8.060083071205103,0.08286030938692177
20,1016,140,6.61832015955542,0.055511470854751666
21,825,94,8.495226966395522,0.07308512832179209
22,776,100,9.276000527376981,0.06747596780049428
23,1163,146,7.957014015801283,0.07934775971587317
24,1120,99,7.7648279147488735,0.07733091626848489
25,714,98,7.3801702444626835,0.06175915266619339
26,913,87,8.626474134501596,0.07780416014421673
27,714,138,8.654222182532987,0.06110976189792319
28,643,138,8.644773759886414,0.06559064636705077
29,1135,148,7.438490847869066,0.07101345314328361
30,1203,115,7.08846839942837,0.07246643725971524
31,886,111,7.664806747544161,0.08111390572369229
32,793,116,8.46113969819693,0.05604578718110858
33,585,91,9.771779705112817,0.07148553571130471
34,1040,91,7.999750931446369,0.07553478754483732
35,895,82,7.189925679681021,0.06101276248526969
36,1443,128,7.470426700549743,0.07148788674209812
37,854,147,8.752399609853848,0.07588173913173983
38,833,89,9.38010721103627,0.0703859180390906
39,1226,141,8.186334537254073,0.07610532626825674
