step,ssc_accuracy,sdc_accuracy,mean_ssc_probability,mean_sdc_probability,cluster_added_or_removed
0,0.0,0.6972111553784861,0.37947276,0.6713374,
1,0.36254980079681276,0.5418326693227091,0.45520258,0.5530657,0
2,0.6374501992031872,0.4541832669322709,0.5818902,0.4946138,8
3,0.6414342629482072,0.46215139442231074,0.5945324,0.50193816,9
4,0.6414342629482072,0.47410358565737054,0.58765596,0.50492996,6
5,0.6175298804780877,0.4860557768924303,0.5988352,0.50622505,7
