step,ssc_accuracy,sdc_accuracy,mean_ssc_probability,mean_sdc_probability,cluster_added_or_removed
0,1.0,0.8804780876494024,0.5262961,0.82974076,
1,0.9322709163346613,0.9322709163346613,0.82763904,0.7333196,4
2,0.9282868525896414,0.9322709163346613,0.82731515,0.71782464,21
3,0.9322709163346613,0.9402390438247012,0.8385475,0.71629477,33
4,0.9243027888446215,0.9362549800796812,0.83696514,0.7110027,38
5,0.9243027888446215,0.9402390438247012,0.8355256,0.71917623,17
