cluster_id,candidate_count,patient_count,mean_distance,mean_area_ratio
0,338,131,8.933223213669816,0.06455892077564482
1,508,115,7.716312514515374,0.04724708316833012
2,721,142,7.608909791451717,0.08360596338026066
3,636,97,8.086707441311962,0.05810778995729838
4,511,156,8.819025157249136,0.47995531862262636
5,492,88,9.295492757626665,0.09492851660503598
6,416,52,9.310432301117824,0.09129759898552522
7,167,85,7.41338061144252,0.07863039028144879
8,471,88,9.082628003098149,0.08471874876892993
9,501,131,7.97043021710333,0.062113542994577206
10,685,121,7.53235953463255,0.09113033322522235
11,657,132,8.113577705540068,0.08907368629490399
12,429,133,8.203622152199555,0.05896477154640604
13,439,42,9.376388594338454,0.08599501590250831
14,423,59,9.022076960714715,0.056359374494980935
15,568,125,7.536517012287193,0.058905447033089614
16,645,112,7.231924395598182,0.05144597726274827
17,613,134,8.46733971248832,0.08955006809452418
18,277,111,7.454240532127959,0.07847949141629765
19,458,107,7.57965928498314,0.05743396542478332
20,446,75,8.325516870738145,0.09219793140086353
21,458,130,8.10713806839489,0.05169520315645039
22,426,129,7.289042837742908,0.053289646274047246
23,415,99,8.293764089101769,0.06868036109280869
24,334,132,8.392459382554014,0.05335763257420701
25,680,81,9.188157548623927,0.09339096405926868
26,695,110,8.562812007931496,0.09350860376152197
27,529,126,7.803751472264021,0.05630513355276756
28,491,136,8.409185066728146,0.06408024805383619
29,757,148,7.987898808331912,0.06011264957241523
30,387,88,6.854161494154031,0.04521314241473369
31,711,116,8.655841120520053,0.09209539249811824
32,595,112,8.37432316291232,0.05396181635495992
33,641,119,8.237820646878152,0.0910592637084389
34,557,89,9.009787969572113,0.09168592004416441
35,738,123,8.727736300569239,0.09378383088564156
36,513,139,8.443914023059154,0.0930971811156988
37,431,117,8.45589283834754,0.09796254983357647
38,646,137,8.908313528303022,0.049598050191306434
39,627,134,8.202410368637985,0.09394922819244038
40,332,100,7.204377608126904,0.05922684037541765
41,259,107,9.277365756311012,0.07561921521043223
42,767,146,7.885082517795488,0.07984947691995747
43,547,118,8.76660961294087,0.08312369003156417
44,414,61,8.394751395580274,0.09308751424153641
