cluster_id,image_count,patient_count,mean_S_R,mean_S_E,mean_probability_drop,weighted_rank_sum,image_coverage,S_h,importance_rank
12,206,137,0.08078336562832492,0.08307587613071342,0.2879565159283868,205.30959758162498,0.8207171314741036,0.8179665242295816,1
4,225,145,0.07701499270016535,0.05165774531248543,0.2581427725487285,198.51731715723872,0.896414342629482,0.7909056460447758,2
20,219,148,0.07168775254560229,0.05756575078916094,0.23020237806725175,192.02919117733836,0.8725099601593626,0.7650565385551329,3
0,222,149,0.05743531114626626,0.05032596839717715,0.2004234702892702,174.38354592956603,0.8844621513944223,0.694755163066,4
27,235,151,0.05397407622485263,0.04904713666938404,0.1469155078753829,167.14585365913808,0.9362549800796812,0.6659197356937773,5
29,163,115,0.06849614640905313,0.1027437176761086,0.26801664953011495,165.66197721660137,0.649402390438247,0.6600078773569775,6
21,235,152,0.045391742904123136,0.04033162994904721,0.14918580905712667,158.20123452693224,0.9362549800796812,0.6302838028961444,7
26,215,138,0.040286098885705945,0.058785061157026954,0.13139914886289558,157.20587639510632,0.8565737051792829,0.626318232649826,8
25,231,146,0.046420011365256024,0.03918094565543584,0.13851106498648466,149.42545052058995,0.9203187250996016,0.5953205200023504,9
3,186,117,0.07095412698055698,0.06305759415401005,0.21196074313133634,146.50594349578023,0.7410358565737052,0.583689017911475,10
13,226,142,0.045055511709442005,0.045135663372085355,0.13176686224214468,146.16662727482617,0.900398406374502,0.5823371604574747,11
16,137,87,0.07596463509310318,0.09374850129803819,0.3057728613570441,145.66711972653866,0.545816733067729,0.5803470905439787,12
15,229,147,0.045272430453950734,0.03543282849317636,0.11827393290159743,144.83854913152754,0.9123505976095617,0.5770460124762053,13
22,201,135,0.03954844676689083,0.05859475134436356,0.13935598202364807,142.319567957893,0.8007968127490039,0.5670102309079403,14
9,190,125,0.029352204161497003,0.054547040326226696,0.11700067411323911,124.35825710743666,0.7569721115537849,0.4954512235356042,15
23,146,102,0.03855051108068238,0.0766875843377146,0.14116531080081549,112.24310472607613,0.5816733067729084,0.447183684167634,16
5,156,112,0.05099006635559934,0.037389334001673914,0.15829530659800348,104.70315907336771,0.6215139442231076,0.4171440600532578,17
1,199,128,0.03617225432342583,0.023891187613436848,0.08613462935215864,93.25497148558497,0.7928286852589641,0.37153375093858554,18
10,121,86,0.07108102214218633,0.0317318503175331,0.23361423313001956,90.78323707170784,0.4820717131474104,0.3616862034729396,19
6,180,125,0.02716011663283603,0.030046502240131504,0.07449856974029292,90.66287815198302,0.7171314741035857,0.3612066858644742,20
8,197,127,0.032330587523653136,0.015443977921271015,0.11510721652716549,86.08020999655128,0.7848605577689243,0.34294904381096125,21
2,173,118,0.03958607795205831,0.020689714474555084,0.11166067473654974,80.9885388482362,0.6892430278884463,0.32266350138739525,22
19,187,122,0.018788811660752715,0.02949404579158972,0.04379836421579441,76.64865832775831,0.7450199203187251,0.30537314074804106,23
7,140,98,0.0359168481150326,0.02162707811803557,0.1263463772301163,71.68303427286446,0.5577689243027888,0.28558977797953966,24
17,223,139,0.014362499276939418,0.02229601036545282,0.0002830747114035046,70.09078227356076,0.8884462151394422,0.27924614451617835,25
28,242,154,0.009729757216233294,0.024852983387521937,0.009061268478832093,69.24033070541918,0.9641434262948207,0.2758578912566501,26
11,106,83,0.03622082623364547,0.046796248024241684,0.13318890799715552,68.88131997175515,0.42231075697211157,0.2744275696085862,27
24,97,82,0.04023139237080576,0.03983467400731692,0.12083946571675773,61.16172970831394,0.38645418326693226,0.24367222991360135,28
18,152,104,0.014435693903375355,0.02439791376788267,0.045748785518011766,50.08211297355592,0.6055776892430279,0.19953033057193595,29
14,96,79,0.02578420370787171,0.044782665444169346,0.04555427373270504,45.70619600266218,0.38247011952191234,0.1820963984169808,30
