cluster_id,candidate_count,patient_count,mean_distance,mean_area_ratio
0,1323,145,10.005675466512967,0.07045616098001696
1,1759,118,9.392011705076511,0.07339098671744528
2,2302,149,8.373187302093108,0.06599617832956052
3,2250,129,8.13695609834459,0.0748168080647786
4,1541,143,7.602866393726109,0.048526305954306216
5,1843,153,9.371511743434796,0.07542404737798528
6,1431,135,9.009484944186953,0.060878135206647685
7,1901,147,8.00133384572149,0.05789235138629747
8,2324,128,7.8708081559347,0.07036388515400184
9,1717,130,7.810139109800913,0.0741560374433798
10,1475,136,8.136225080328472,0.05656566296593614
11,1128,61,9.371286566798569,0.07803050846072794
12,2368,128,9.689911318187779,0.0781058685199634
13,2178,119,8.859375058674177,0.07890548390790446
14,1398,102,8.827557077394193,0.06069031634896947
15,2401,155,8.470396308787711,0.07566172557292204
16,2009,147,9.300393154396827,0.08203542736883239
17,1494,113,10.836980283499722,0.07979813541274468
18,1604,122,10.255829585460653,0.0726064077933827
19,3299,151,7.858992175500875,0.06149387157263264
