step,ssc_accuracy,sdc_accuracy,mean_ssc_probability,mean_sdc_probability,cluster_added_or_removed
0,0.0,0.6972111553784861,0.37947276,0.6713374,
1,0.2788844621513944,0.5219123505976095,0.42538133,0.54680395,18
2,0.601593625498008,0.4541832669322709,0.6196892,0.49807352,17
3,0.7211155378486056,0.44621513944223107,0.678854,0.47365567,0
4,0.749003984063745,0.4342629482071713,0.6862193,0.47966114,4
5,0.7529880478087649,0.44621513944223107,0.7118625,0.4812822,16
