cluster_id,candidate_count,patient_count,mean_distance,mean_area_ratio
0,1904,119,9.466277877573205,0.08868948551787044
1,1770,121,9.423682674849774,0.1286705189505539
2,663,143,8.589493031595268,0.07757022334080114
3,3610,157,8.799141179557653,0.09253422639376564
4,2609,157,8.79667039683332,0.09364087392471443
5,2461,157,8.850178799945036,0.10484067350323241
6,3254,157,8.92874501010869,0.08398626359167019
7,2156,142,8.175018328903779,0.05295012125500054
8,2836,153,8.385742625161186,0.055462979799601485
9,2088,157,8.456192912498196,0.06400494191838403
