cluster_id,candidate_count,patient_count,mean_distance,mean_area_ratio
0,3371,157,9.179650499643186,0.0748332534830777
1,3636,142,8.085780514611137,0.06713078019380303
2,3953,142,8.341520720423247,0.07662547174478339
3,2882,138,9.172382159501128,0.07179281034873307
4,4436,157,8.04303282665927,0.07481879173258164
5,3828,155,8.035965726417933,0.06562411947061023
6,3768,153,7.952104363218741,0.07658150342872437
7,3368,156,7.590638932309638,0.05207529543697688
8,3215,139,9.496656074939212,0.06718136326150607
9,4550,157,7.505510228544801,0.05994676946283693
